Virginia Department Of Education ,,,,,,,,,,,,,,,,,,,,
Public School Listing,,,,,,,,,,,,,,,,,,,,
Division  Num ,Division Name ,NCES School Num ,School  Num ,School Name ,Low  Grades ,High  Grades ,Division  Description ,School Description ,Grade  Standard ,Schedule ,Principal ,Address1 ,Address2 ,City ,State ,Zip ,Phone  Number ,Fall  Membership  Schools,,
1,Accomack County Public Schools,5.10006E+11,701,Accawmacke Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Javan  Thompson ,P.O. Box 389,,Accomac,VA,23301,757-787-8013,Membership,,
1,Accomack County Public Schools,5.10006E+11,540,Arcadia High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Shaun  O'Shea ,PO Box 69,,Oak Hall,VA,23416,757-824-5613,Membership,,
1,Accomack County Public Schools,5.10006E+11,704,Arcadia Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Ms. Wandnetta  McCray ,P. O. Box 220,,Oak Hall,VA,23416,757-824-4862,Membership,,
1,Accomack County Public Schools,5.10006E+11,541,Badger Vocational Education Center - North,,,Local Education Agency,Public center - Career and Technical Ed.,,,   ,PO Box 69,,Oak Hall,VA,23416,757-824-5613,Non-Membership,,
1,Accomack County Public Schools,5.10006E+11,71,Badger Vocational Education Center - South,,,Local Education Agency,Public center - Career and Technical Ed.,,,   ,P.O. Box 302,,Onley,VA,23418,757-787-4522,Non-Membership,,
1,Accomack County Public Schools,5.10006E+11,80,Chincoteague Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Marjorie  Rosati ,6078 Hallie Whealton Smith Dr,,Chincoteague,VA,23336,757-336-5545,Membership,,
1,Accomack County Public Schools,5.10006E+11,580,Chincoteague High,6,12,Local Education Agency,Public school - Regular,Combined,4X4,Mrs. Katie  Farrell ,4586 Main St,,Chincoteague,VA,23336,757-336-6166,Membership,,
1,Accomack County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
1,Accomack County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
1,Accomack County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
1,Accomack County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
1,Accomack County Public Schools,5.10006E+11,600,Kegotank Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Phyllis  Smith ,PO Box 28,,Mappsville,VA,23407,757-824-4756,Membership,,
1,Accomack County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,6 College Avenue,,Onancock,VA,23417,757-787-7765,Membership,,
1,Accomack County Public Schools,5.10006E+11,702,Metompkin Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Ruth  Tankard ,24501 Parksley Rd,,Parksley,VA,23421,757-665-1299,Membership,,
1,Accomack County Public Schools,5.10006E+11,70,Nandua High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Deon  Garner ,26350 Lankford Highway,,Onley,VA,23418,757-787-4514,Membership,,
1,Accomack County Public Schools,5.10006E+11,703,Nandua Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mr. John  Killmon ,20330 Warrior Dr.,,Onley,VA,23418,757-787-7037,Membership,,
1,Accomack County Public Schools,5.10006E+11,590,Pungoteague Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Brian  Patterson ,28480 Bobtown Rd,,Melfa,VA,23410,757-787-4032,Membership,,
1,Accomack County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
1,Accomack County Public Schools,5.10006E+11,530,Tangier Combined,KG,12,Local Education Agency,Public school - Regular,Combined,4X4,Mrs. Sharon  Haynie ,PO Box 245,,Tangier,VA,23440,757-891-2315,Membership,,
2,Albemarle County Public Schools,5.10009E+11,160,Agnor-Hurt Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Michael  Irani ,3201 Berkmar Drive,,Charlottesville,VA,22901,434-973-5211,Membership,,
2,Albemarle County Public Schools,5.10009E+11,880,Albemarle High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Mr. Darah  Bonham ,2775 Hydraulic Road,,Charlottesville,VA,22901,434-975-9300,Membership,,
2,Albemarle County Public Schools,5.10009E+11,1053,Baker-Butler Elem,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Seth  Kennard ,2740 Proffit Road,,Charlottesville,VA,22911,434-974-7777,Membership,,
2,Albemarle County Public Schools,5.10009E+11,100,Broadus Wood Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Amy Daniel Morris ,185 Buck Mountain Road,,Earlysville,VA,22936,434-973-3865,Membership,,
2,Albemarle County Public Schools,5.10009E+11,941,Brownsville Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jason  Crutchfield ,5870 Rockfish Gap Turnpike,,Crozet,VA,22932,434-823-4658,Membership,,
2,Albemarle County Public Schools,5.10009E+11,890,Community Lab School,6,12,Local Education Agency,Public school - Charter,Combined,4X4,Chad  Ratliff ,1200 Forest Street,,Charlottesville,VA,22903,434-296-3090,Membership,,
2,Albemarle County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
2,Albemarle County Public Schools,5.10009E+11,340,Crozet Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Gwedette  Crummie ,1407 Crozet Avenue,,Crozet,VA,22932,434-823-4800,Membership,,
2,Albemarle County Public Schools,5.10009E+11,10,Hollymead Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Craig  Dommer ,2775 Powell Creek Drive,,Charlottesville,VA,22911,434-973-8301,Membership,,
2,Albemarle County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
2,Albemarle County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,434-296-5885,Non-Membership,,
2,Albemarle County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,434-296-5885,Non-Membership,,
2,Albemarle County Public Schools,5.10009E+11,950,Jack Jouett Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,Ashby  Johnson ,210 Lambs Lane,,Charlottesville,VA,22901,434-975-9320,Membership,,
2,Albemarle County Public Schools,5.10009E+11,69,Jackson P. Burley Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,Kasaundra  Blount ,901 Rose Hill Drive,,Charlottesville,VA,22903,434-295-5101,Membership,,
2,Albemarle County Public Schools,5.10009E+11,942,Joseph T. Henley Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Beth  Costa ,5880 Rockfish Gap Turnpike,,Crozet,VA,22932,434-823-4393,Membership,,
2,Albemarle County Public Schools,5.10009E+11,1051,Lakeside Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,Megan  Wood ,2801 Powell Creek Drive,,Charlottesville,VA,22911,434-975-0599,Membership,,
2,Albemarle County Public Schools,5.10009E+11,20,Leslie H. Walton Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mr. Josh  Walton ,4217 Red Hill Rd,,Charlottesville,VA,22903,434-977-5615,Membership,,
2,Albemarle County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,401 McIntire Road,,Charlottesville,VA,22902,804-296-5885,Membership,,
2,Albemarle County Public Schools,5.10009E+11,40,Mary Carr Greer Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Steve  Saunders ,190 Lambs Lane,,Charlottesville,VA,22901,434-973-8371,Membership,,
2,Albemarle County Public Schools,5.10009E+11,250,Meriwether Lewis Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jennifer  Underwood ,1610 Owensville Road,,Charlottesville,VA,22901,434-293-9304,Membership,,
2,Albemarle County Public Schools,5.10009E+11,350,Monticello Governor's Health Sciences Academy,,,Local Education Agency,Public center - Governor's Health Academy,,,   ,1400 Independence Way,,Charlottesville,VA,22902,434-244-3100,Non-Membership,,
2,Albemarle County Public Schools,5.10009E+11,1052,Monticello High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Rick  Vrhovac ,1400 Independence Way,,Charlottesville,VA,22902,434-244-3100,Membership,,
2,Albemarle County Public Schools,5.10009E+11,150,Mountain View Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Cyndi  Wells ,1757 Avon Street Extended,,Charlottesville,VA,22902,434-293-7455,Membership,,
2,Albemarle County Public Schools,5.10009E+11,540,Red Hill Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Nancy  McCullen ,3901 Red Hill School Road,,North Garden,VA,22959,434-293-5332,Membership,,
2,Albemarle County Public Schools,5.10009E+11,30,Scottsville Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Staci  England ,7868 Scottsville Road,,Scottsville,VA,24590,434-286-2441,Membership,,
2,Albemarle County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
2,Albemarle County Public Schools,5.10009E+11,920,Stone Robinson Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Angela  Stokes ,958 North Milton Road,,Charlottesville,VA,22911,434-296-3754,Membership,,
